oln_id	scer_gene_name	sgd_description	scer_uniprot_description	uniprot_acc	is_tf	is_kinases	peak_time	cneo_orthologs	cneo_ortholog_descriptions
ARS1409		Putative replication origin; identified in multiple array studies, not yet confirmed by plasmid-based assay							
tG(UCC)N	SUF6	Glycine tRNA (tRNA-Gly), predicted by tRNAscan-SE analysis; can mutate to suppress +1 frameshift mutations in glycine codons							
									
YNLWtau1		Ty4 LTR							
YNLCdelta1		Ty1 LTR							
YNL284C-B		Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN); similar to retroviral genes	Transposon Ty1-NL1 Gag-Pol polyprotein (Gag-Pol-p199) (TY1A-TY1B) (Transposon Ty1 TYA-TYB polyprotein) (p190) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Ty1 protease (PR) (EC 3.4.23.-) (Pol-p20) (p23); Integrase (IN) (Pol-p71) (p84) (p90); Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (Pol-p63) (p60)]	Q12112					
									
									
									
YNL284C-A		Retrotransposon TYA Gag gene co-transcribed with TYB Pol; translated as TYA or TYA-TYB polyprotein; Gag is a nucleocapsid protein that is the structural constituent of virus-like particles (VLPs); similar to retroviral Gag	Transposon Ty1-NL1 Gag polyprotein (Gag-p49) (Transposon Ty1 protein A) (TY1A) (TYA) (p58) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Gag-p4]	Q12391					
									
YNLCTy1-1		Ty1 element, LTR retrotransposon of the Copia (Pseudoviridae) group; contains co-transcribed genes TYA Gag and TYB Pol, encoding proteins involved in structure and function of virus-like particles, flanked by two direct repeats	Transposon Ty1-NL1 Gag-Pol polyprotein (Gag-Pol-p199) (TY1A-TY1B) (Transposon Ty1 TYA-TYB polyprotein) (p190) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Ty1 protease (PR) (EC 3.4.23.-) (Pol-p20) (p23); Integrase (IN) (Pol-p71) (p84) (p90); Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (Pol-p63) (p60)]	Q12112					
YNLCTy1-1		Ty1 element, LTR retrotransposon of the Copia (Pseudoviridae) group; contains co-transcribed genes TYA Gag and TYB Pol, encoding proteins involved in structure and function of virus-like particles, flanked by two direct repeats	Transposon Ty1-NL1 Gag polyprotein (Gag-p49) (Transposon Ty1 protein A) (TY1A) (TYA) (p58) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Gag-p4]	Q12391					
YNLCdelta2		Ty1 LTR							
YNLCsigma1		Ty3 LTR							
tN(GUU)N1		Asparagine tRNA (tRNA-Asn), predicted by tRNAscan-SE analysis							
									
YNL284C	MRPL10	Mitochondrial ribosomal protein of the large subunit; appears as two protein spots (YmL10 and YmL18) on two-dimensional SDS gels	54S ribosomal protein L10, mitochondrial (Mitochondrial large ribosomal subunit protein uL15m) (YmL10/YmL18)	P36520					
									
tT(AGU)N1		Threonine tRNA (tRNA-Thr), predicted by tRNAscan-SE analysis							
									
YNL283C	WSC2	Sensor-transducer of the stress-activated PKC1-MPK1 signaling pathway; involved in maintenance of cell wall integrity and recovery from heat shock; required for the arrest of secretion response; WSC2 has a paralog, WSC3, that arose from the whole genome duplication	Cell wall integrity and stress response component 2	P53832			36		
									
YNL282W	POP3	Subunit of both RNase MRP and nuclear RNase P; RNase MRP cleaves pre-rRNA, while nuclear RNase P cleaves tRNA precursors to generate mature 5' ends and facilitates turnover of nuclear RNAs; relocalizes to the cytosol in response to hypoxia	Ribonucleases P/MRP protein subunit POP3 (RNA-processing protein POP3) (RNases MRP/P 22.6 kDa subunit)	P53833					
									
YNL281W	HCH1	Heat shock protein regulator; binds to Hsp90p and may stimulate ATPase activity; originally identified as a high-copy number suppressor of a HSP90 loss-of-function mutation; role in regulating Hsp90 inhibitor drug sensitivity; GFP-fusion protein localizes to the cytoplasm and nucleus; protein abundance increases in response to DNA replication stress	Hsp90 co-chaperone HCH1 (High-copy Hsp90 suppressor protein 1)	P53834					
									
YNL280C	ERG24	C-14 sterol reductase; acts in ergosterol biosynthesis; mutants accumulate the abnormal sterol ignosterol (ergosta-8,14 dienol), and are viable under anaerobic growth conditions but inviable on rich medium under aerobic conditions	Delta(14)-sterol reductase (EC 1.3.1.70) (C-14 sterol reductase) (Sterol C14-reductase)	P32462					
									
YNL279W	PRM1	Pheromone-regulated multispanning membrane protein; involved in membrane fusion during mating; predicted to have 5 transmembrane segments and a coiled coil domain; localizes to the shmoo tip; regulated by Ste12p	Plasma membrane fusion protein PRM1 (Pheromone-regulated membrane protein 1)	P53835					
									
YNL278W	CAF120	Part of the CCR4-NOT transcriptional regulatory complex; involved in controlling mRNA initiation, elongation, and degradation; contains a PH-like domain; CAF120 has a paralog, SKG3, that arose from the whole genome duplication	CCR4-NOT transcriptional complex subunit CAF120 (120 kDa CCR4-associated factor)	P53836					
									
YNL277W-A		Putative protein of unknown function	Uncharacterized protein YNL277W-A	Q3E7Z0					
									
YNL277W	MET2	L-homoserine-O-acetyltransferase; catalyzes the conversion of homoserine to O-acetyl homoserine which is the first step of the methionine biosynthetic pathway	Homoserine O-acetyltransferase (EC 2.3.1.31) (Homoserine O-trans-acetylase)	P08465					
									
YNL276C		Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; overlaps the verified gene MET2/YNL277W							
									
YNL275W	BOR1	Boron efflux transporter of the plasma membrane; binds HCO3-, I-, Br-, NO3- and Cl-; has similarity to the characterized boron efflux transporter A. thaliana BOR1	Boron transporter 1	P53838					
									
YNL274C	GOR1	Glyoxylate reductase; null mutation results in increased biomass after diauxic shift; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; protein abundance increases in response to DNA replication stress	Glyoxylate reductase 1 (EC 1.1.1.26)	P53839			11		
									
YNL273W	TOF1	Subunit of a replication-pausing checkpoint complex; Tof1p-Mrc1p-Csm3p acts at the stalled replication fork to promote sister chromatid cohesion after DNA damage, facilitating gap repair of damaged DNA; interacts with the MCM helicase; relocalizes to the cytosol in response to hypoxia	Topoisomerase 1-associated factor 1	P53840			13		
									
ARS1410		Replication origin; identified in multiple array studies, confirmed by plasmid-based recombinational ARS assay							
YNL272C	SEC2	Guanyl-nucleotide exchange factor for the small G-protein Sec4p; essential for post-Golgi vesicle transport and for autophagy; associates with the exocyst, via exocyst subunit Sec15p, on secretory vesicles	Rab guanine nucleotide exchange factor SEC2 (GDP-GTP exchange factor SEC2)	P17065					
									
YNL271C	BNI1	Formin; polarisome component; nucleates the formation of linear actin filaments, involved in cell processes such as budding and mitotic spindle orientation which require the formation of polarized actin cables; recruited to the division site in a Glc7p/Ref2p dependent manner following release of Bnr1p; functionally redundant with BNR1	Protein BNI1 (Pointed projection formation protein 3) (Sensitive to high expression protein 5) (Synthetic lethal 39)	P41832					
									
YNL270C	ALP1	Arginine transporter; expression is normally very low and it is unclear what conditions would induce significant expression; ALP1 has a paralog, CAN1, that arose from the whole genome duplication	Basic amino-acid permease	P38971					
									
YNL269W	BSC4	Protein of unknown function; protein-coding gene that evolved de novo via a series of point mutations in noncoding sequence; ORF exhibits genomic organization compatible with a translational readthrough-dependent mode of expression; readthrough is increased upon depletion of Sup35p; may be involved in DNA repair pathway during stationary phase and contribute to robustness of cells when shifted to a nutrient-poor environment	Bypass of stop codon protein 4	P53841					
									
YNL268W	LYP1	Lysine permease; one of three amino acid permeases (Alp1p, Can1p, Lyp1p) responsible for uptake of cationic amino acids	Lysine-specific permease	P32487					
									
YNL267W	PIK1	Phosphatidylinositol 4-kinase; catalyzes first step in the biosynthesis of phosphatidylinositol-4,5-biphosphate; may control cytokinesis through the actin cytoskeleton; may control nonselective autophagy and mitophagy through trafficking of Atg9p	Phosphatidylinositol 4-kinase PIK1 (PI4-kinase) (PtdIns-4-kinase) (EC 2.7.1.67)	P39104					
									
YNL266W		Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified ORF IST1/YNL265C							
									
YNL265C	IST1	Protein with positive role in the multivesicular body sorting pathway; functions and forms a complex with Did2p; recruitment to endosomes is mediated by the Vps2p-Vps24p subcomplex of ESCRT-III; also interacts with Vps4p	Vacuolar protein sorting-associated protein IST1 (Increased sodium tolerance protein 1)	P53843					
									
									
									
YNL264C	PDR17	Phosphatidylinositol transfer protein (PITP); downregulates Plb1p-mediated turnover of phosphatidylcholine; forms a complex with Psd2p which appears essential for maintenance of vacuolar PE levels; found in the cytosol and microsomes; homologous to Pdr16p; deletion affects phospholipid composition	Phosphatidylinositol transfer protein PDR17 (PITP) (Phosphatidylserine transport B pathway protein 2) (Pleiotropic drug resistance protein 17) (SEC14 homolog 3)	P53844					
									
YNL263C	YIF1	Integral membrane protein; required for the fusion of ER-derived COPII transport vesicles with the Golgi; interacts with Yip1p and Yos1p; localizes to the Golgi, the ER, and COPII vesicles; homolog of human YIPF3	Protein transport protein YIF1 (YIP1-interacting factor 1)	P53845			23		
									
YNL262W	POL2	Catalytic subunit of DNA polymerase (II) epsilon; a chromosomal DNA replication polymerase that exhibits processivity and proofreading exonuclease activity; participates in leading-strand synthesis during DNA replication; also involved in DNA synthesis during DNA repair; interacts extensively with Mrc1p	DNA polymerase epsilon catalytic subunit A (EC 2.7.7.7) (DNA polymerase II subunit A)	P21951			15		
									
YNL261W	ORC5	Subunit of the origin recognition complex (ORC); ORC directs DNA replication by binding to replication origins and is also involved in transcriptional silencing	Origin recognition complex subunit 5 (Origin recognition complex 53 kDa subunit)	P50874					
									
YNL260C	LTO1	Essential protein that forms a complex with Rli1p and Yae1p; ortholog of human ORAOV1, which is overexpressed in solid tumors; inviability of null mutant under standard conditions is complemented by overexpression of ORAOV1; essential for growth under standard (aerobic) conditions but not under anaerobic conditions; may have a role in protection of ribosomal assembly and function from damage due to reactive oxygen species	Protein LTO1 (LTO1 family protein YNL260C)	P53846					
									
YNL259C	ATX1	Cytosolic copper metallochaperone; transports copper to the secretory vesicle copper transporter Ccc2p for eventual insertion into Fet3p, which is a multicopper oxidase required for high-affinity iron uptake; human homolog ATOX1 can complement yeast atx1 mutant; overexpression of human ATOX1 suppresses lysine auxotrophy of the yeast sod1 null mutant, as does overexpression of yeast ATX1	Metal homeostasis factor ATX1	P38636					
